date,NZD exchange rate
1973-6-29,0.7535795026375283
1973-7-30,0.7396449704142012
1973-8-30,0.744047619047619
1973-9-29,0.6939625260235947
1973-10-30,0.6752194463200539
1973-11-29,0.6863417982155113
1973-12-30,0.6978367062107467
1974-1-30,0.7209805335255948
1974-2-27,0.7102272727272728
1974-3-30,0.6963788300835655
1974-4-29,0.6872852233676976
1974-5-30,0.68259385665529
1974-6-29,0.687757909215956
1974-7-30,0.6896551724137931
1974-8-30,0.6988120195667366
1974-9-29,0.7142857142857143
1974-10-30,0.7668711656441718
1974-11-29,0.7662835249042146
1974-12-30,0.7633587786259541
1975-1-30,0.75642965204236
1975-2-27,0.7473841554559043
1975-3-30,0.7412898443291327
1975-4-29,0.7513148009015778
1975-5-30,0.75642965204236
1975-6-29,0.7616146230007617
1975-7-30,0.7800312012480499
1975-8-30,0.8904719501335708
1975-9-29,0.9433962264150942
1975-10-30,0.9505703422053231
1975-11-29,0.9505703422053231
1975-12-30,0.9587727708533078
1976-1-30,0.9569377990430623
1976-2-28,0.9541984732824427
1976-3-30,0.9718172983479106
1976-4-29,0.99304865938431
1976-5-30,1.0030090270812437
1976-6-29,1.0131712259371835
1976-7-30,1.0050251256281406
1976-8-30,0.9990009990009991
1976-9-29,1.0060362173038229
1976-10-30,1.0319917440660475
1976-11-29,1.040582726326743
1976-12-30,1.081081081081081
1977-1-30,1.050420168067227
1977-2-27,1.0482180293501049
1977-3-30,1.0427528675703859
1977-4-29,1.0384215991692627
1977-5-30,1.0395010395010396
1977-6-29,1.037344398340249
1977-7-30,1.027749229188078
1977-8-30,1.0309278350515465
1977-9-29,1.0309278350515465
1977-10-30,1.017293997965412
1977-11-29,1.0050251256281406
1977-12-30,0.99304865938431
1978-1-30,0.9784735812133072
1978-2-27,0.9775171065493647
1978-3-30,0.9765625
1978-4-29,0.9794319294809012
1978-5-30,0.9910802775024778
1978-6-29,0.9803921568627451
1978-7-30,0.9633911368015414
1978-8-30,0.9478672985781991
1978-9-29,0.946073793755913
1978-10-30,0.9319664492078286
1978-11-29,0.946073793755913
1978-12-30,0.9478672985781991
1979-1-30,0.9442870632672333
1979-2-27,0.9478672985781991
1979-3-30,0.9478672985781991
1979-4-29,0.9523809523809523
1979-5-30,0.9569377990430623
1979-6-29,0.9661835748792271
1979-7-30,0.9803921568627451
1979-8-30,0.9852216748768474
1979-9-29,0.9960159362549801
1979-10-30,1.0141987829614605
1979-11-29,1.0319917440660475
1979-12-30,1.019367991845056
1980-1-30,1.0121457489878543
1980-2-28,1.0204081632653061
1980-3-30,1.0460251046025104
1980-4-29,1.0548523206751055
1980-5-30,1.0235414534288638
1980-6-29,1.0121457489878543
1980-7-30,1.0131712259371835
1980-8-30,1.0224948875255624
1980-9-29,1.017293997965412
1980-10-30,1.019367991845056
1980-11-29,1.0330578512396695
1980-12-30,1.0482180293501049
1981-1-30,1.0395010395010396
1981-2-27,1.0683760683760684
1981-3-30,1.0857763300760044
1981-4-29,1.1061946902654867
1981-5-30,1.1337868480725624
1981-6-29,1.1641443538998837
1981-7-30,1.1918951132300357
1981-8-30,1.2135922330097089
1981-9-29,1.2077294685990339
1981-10-30,1.2121212121212122
1981-11-29,1.203369434416366
1981-12-30,1.2062726176115803
1982-1-30,1.2285012285012287
1982-2-27,1.2594458438287153
1982-3-30,1.2853470437017995
1982-4-29,1.3054830287206267
1982-5-30,1.2987012987012987
1982-6-29,1.3333333333333333
1982-7-30,1.349527665317139
1982-8-30,1.366120218579235
1982-9-29,1.3793103448275863
1982-10-30,1.3986013986013988
1982-11-29,1.4064697609001406
1982-12-30,1.3793103448275863
1983-1-30,1.3717421124828533
1983-2-27,1.3908205841446455
1983-3-30,1.4992503748125936
1983-4-29,1.519756838905775
1983-5-30,1.5082956259426847
1983-6-29,1.5220700152207
1983-7-30,1.5267175572519083
1983-8-30,1.5337423312883436
1983-9-29,1.5313935681470137
1983-10-30,1.510574018126888
1983-11-29,1.5174506828528072
1983-12-30,1.5337423312883436
1984-1-30,1.5408320493066254
1984-2-28,1.519756838905775
1984-3-30,1.497005988023952
1984-4-29,1.5151515151515151
1984-5-30,1.5384615384615383
1984-6-29,1.5552099533437014
1984-7-30,1.7825311942959
1984-8-30,2.004008016032064
1984-9-29,2.0408163265306123
1984-10-30,2.05761316872428
1984-11-29,2.028397565922921
1984-12-30,2.066115702479339
1985-1-30,2.1231422505307855
1985-2-27,2.2075055187637966
1985-3-30,2.2075055187637966
1985-4-29,2.1929824561403506
1985-5-30,2.2123893805309733
1985-6-29,2.1834061135371177
1985-7-30,2.0202020202020203
1985-8-30,1.8726591760299625
1985-9-29,1.8761726078799248
1985-10-30,1.7482517482517483
1985-11-29,1.7482517482517483
1985-12-30,1.8867924528301885
1986-1-30,1.941747572815534
1986-2-27,1.8761726078799248
1986-3-30,1.8867924528301885
1986-4-29,1.7953321364452421
1986-5-30,1.7636684303350971
1986-6-29,1.8416206261510129
1986-7-30,1.8761726078799248
1986-8-30,1.9920318725099602
1986-9-29,2.0833333333333335
1986-10-30,1.9841269841269842
1986-11-29,1.941747572815534
1986-12-30,1.949317738791423
1987-1-30,1.8656716417910446
1987-2-27,1.8281535648994514
1987-3-30,1.773049645390071
1987-4-29,1.7301038062283738
1987-5-30,1.733102253032929
1987-6-29,1.7006802721088436
1987-7-30,1.6778523489932886
1987-8-30,1.697792869269949
1987-9-29,1.5822784810126582
1987-10-30,1.557632398753894
1987-11-29,1.6181229773462784
1987-12-30,1.5455950540958268
1988-1-30,1.5174506828528072
